Date,Trips,Precip,Tavg,Hol
4/21/2018,63594,0,47,0
4/22/2018,54282,0,51,0
4/23/2018,57764,0,50,0
4/24/2018,58523,0,51,0
4/25/2018,31213,0.34,54,0
4/26/2018,66074,0.04,58,0
4/27/2018,39153,0.12,54,0
4/28/2018,56735,0.01,52,0
4/29/2018,44825,0.13,54,0
4/30/2018,41074,0,49,0
5/1/2018,72035,0,58,0
5/2/2018,76773,0,67,0
5/3/2018,69053,0,70,0
5/4/2018,71197,0,68,0
5/5/2018,63325,0,66,0
5/6/2018,48993,0,60,0
5/7/2018,68915,0,61,0
5/8/2018,74310,0,58,0
5/9/2018,78454,0,56,0
5/10/2018,67454,0.01,56,0
5/11/2018,75262,0,65,0
5/12/2018,34535,0.25,60,0
5/13/2018,25985,0.16,53,0
5/14/2018,64727,0.12,55,0
5/15/2018,52826,0.44,63,0
5/16/2018,32766,0.33,62,0
5/17/2018,49788,0.72,59,0
5/18/2018,63112,0,61,0
5/19/2018,18026,0.75,54,0
5/20/2018,56946,0,67,0
5/21/2018,71218,0,67,0
5/22/2018,48508,0.17,60,0
5/23/2018,72653,0.2,66,0
5/24/2018,74808,0,74,0
5/25/2018,69342,0,69,0
5/26/2018,51592,0,73,0
5/27/2018,25813,0.89,65,0
5/28/2018,49040,0,57,1
5/29/2018,69090,0,67,0
5/30/2018,72321,0,64,0
5/31/2018,55798,0.03,63,0
6/1/2018,62890,1.18,67,0
6/2/2018,60287,0,75,0
6/3/2018,50041,0.11,63,0
6/4/2018,58910,0.61,57,0
6/5/2018,71906,0,64,0
6/6/2018,69797,0,63,0
6/7/2018,70478,0,60,0
6/8/2018,72696,0,65,0
6/9/2018,65239,0,71,0
6/10/2018,41639,0.02,68,0
6/11/2018,68060,0.02,62,0
6/12/2018,76255,0,61,0
6/13/2018,64270,0.04,65,0
6/14/2018,75803,0,76,0
6/15/2018,72417,0,71,0
6/16/2018,63182,0,71,0
6/17/2018,56218,0,74,0
6/18/2018,63551,0.43,73,0
6/19/2018,72168,0.02,80,0
6/20/2018,74088,0.01,73,0
6/21/2018,70050,0.28,72,0
6/22/2018,71084,0.04,68,0
6/23/2018,51028,0,65,0
6/24/2018,55775,0.17,69,0
6/25/2018,71747,0,75,0
6/26/2018,80643,0,68,0
6/27/2018,67647,0.02,69,0
6/28/2018,50431,0.93,72,0
6/29/2018,69856,0,78,0
6/30/2018,54713,0,82,0
